GPS,Epoch Time,x,y,z
GPS21,2009-06-30,13277732.351170633,11534685.37777603,-19544490.22539057
GPS21,2009-06-30 02:00:00,-20362420.092965078,-4815312.116147055,16391763.593488004
GPS21,2009-06-30 04:00:00,-17878970.407047685,19081179.335855346,-1514743.94250951
GPS21,2009-06-30 05:59:44,-20744681.224382296,7870298.423075112,14405329.846030768
GPS21,2009-06-30 06:00:00,4068361.084395262,-22807230.583012808,13797716.300426342
GPS21,2009-06-30 07:59:44,12791911.889493417,8086622.367411596,-21506270.436915338
GPS21,2009-06-30 10:00:00,4545843.0804071175,-23029231.06592124,13279917.645292519
GPS21,2009-06-30 12:00:00,17234638.67591,-13859869.799803002,-14937995.877051743
GPS21,2009-06-30 14:00:00,17359251.78711489,-712252.1128661614,-20049351.19041222
GPS21,2009-06-30 16:00:00,-20868416.597278472,11638351.041956255,11227500.141438494
GPS21,2009-06-30 18:00:00,20658514.419582926,-8558658.549914755,-14450973.42153756
GPS21,2009-06-30 20:00:00,-8972742.218993763,24428750.50555625,3443915.930913992
GPS21,2009-06-30 22:00:00,2510607.960553807,-26149473.8902057,6037693.756024199
GPS22,2009-06-30,18218718.827314243,2208112.130871866,-19012517.86076451
GPS22,2009-06-30 01:59:44,15632386.884338876,20721779.70948371,-5254253.944744185
GPS22,2009-06-30 02:00:00,-19929945.628228635,-10466218.009742634,14327577.833015557
GPS22,2009-06-30 03:59:44,-9755324.06497534,-24663097.31899453,2261955.917903976
GPS22,2009-06-30 06:00:00,7202320.176483372,24800777.921140753,-5842399.012664296
GPS22,2009-06-30 08:00:00,-7083266.149188694,-24807664.217447378,6656625.80384928
GPS22,2009-06-30 10:00:00,-15263181.576235691,5547427.534679796,21174469.090326037
GPS22,2009-06-30 12:00:00,-9106497.576380998,17122014.058687024,18280402.152287018
GPS22,2009-06-30 14:00:00,-10523190.621494573,-23979784.847112007,4826204.973404942
GPS22,2009-06-30 16:00:00,4149276.7044287557,25399470.636702746,6538657.053828914
GPS22,2009-06-30 18:00:00,923803.8467344453,-24406720.90342581,-10388010.379327672
GPS22,2009-06-30 20:00:00,5851195.143767568,-20736070.821810506,-15432052.409567825
